"filename", "language", "C", "comment", "blank", "total"
"/home/tpanou-d/Documents/github/minishell/macrochibre/.main.c", "C", 36, 11, 7, 54
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/.deprecated_export.c", "C", 138, 11, 15, 164
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_cd.c", "C", 126, 11, 12, 149
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_echo.c", "C", 32, 11, 5, 48
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_env.c", "C", 12, 11, 3, 26
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_exit.c", "C", 43, 11, 6, 60
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_export.c", "C", 87, 26, 10, 123
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_pwd.c", "C", 11, 11, 3, 25
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_unset.c", "C", 27, 11, 5, 43
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_convert_export_to_var.c", "C", 68, 27, 11, 106
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_envp.c", "C", 31, 43, 7, 81
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_exportp.c", "C", 53, 54, 9, 116
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_find_var.c", "C", 36, 11, 6, 53
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_safe_getcwd.c", "C", 11, 11, 2, 24
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_throw_builtin_error.c", "C", 33, 12, 6, 51
"/home/tpanou-d/Documents/github/minishell/macrochibre/create_error.c", "C", 2, 0, 0, 2
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/.get_path_main.c", "C", 21, 11, 3, 35
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/exec_cmd_line.c", "C", 0, 0, -1, -1
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/get_path.c", "C", 79, 11, 9, 99
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/open_redirs.c", "C", 49, 11, 6, 66
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/pipes.c", "C", -5, 0, 0, -5
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/end_get_line.c", "C", -10, 0, -1, -11
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/get_line.h", "C", 1, 0, 0, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/history.c", "C", 13, 0, 2, 15
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/line_editing.c", "C", 0, 0, 1, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/output_editing.c", "C", 0, 1, 0, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/main.c", "C", -45, -11, -9, -65
"/home/tpanou-d/Documents/github/minishell/macrochibre/minishell.h", "C", 67, 1, 4, 72
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.get_redir_utils.c", "C", 1, 53, 7, 61
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.hdoc_main.c", "C", 44, 11, 2, 57
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.main.c", "C", 80, 12, 3, 95
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.redir_main.c", "C", 38, 12, 2, 52
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/arg/get_arg.c", "C", -74, -11, -8, -93
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/cmd_funcs.c", "C", 1, 0, 0, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/expand.c", "C", 42, 11, 7, 60
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_arg.c", "C", 69, 11, 8, 88
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_cmd_line.c", "C", 1, 0, 0, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_hdoc.c", "C", 59, 11, 7, 77
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_redir.c", "C", 74, 11, 9, 94
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_redir_name_len.c", "C", 40, 11, 6, 57
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/go_to_end_of.c", "C", 4, 0, 1, 5
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/hdoc/get_hdoc.c", "C", -58, -54, -7, -119
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils.c", "C", 1, 0, 0, 1
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils2.c", "C", 1, 0, 1, 2
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils3.c", "C", 11, 0, 2, 13
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/redir/get_redir.c", "C", -73, -11, -10, -94
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/redir/get_redir_name_len.c", "C", -39, -11, -6, -56
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/redir/get_redir_utils.c", "C", -1, -53, -7, -61
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/test_area/check_line_parsing.c", "C", -54, -11, -4, -69
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/var/.main.c", "C", -56, -11, -4, -71
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/var/expand.c", "C", -42, -11, -6, -59
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/var/var_utils.c", "C", -15, -11, -5, -31
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/var_utils.c", "C", 15, 11, 5, 31
"Total", "-", 985, 266, 124, 1375